,id,rid,uid,gid,context,stimuli,response,created_at,published,tid,detailedness,novelty,usefulness,context_features,response_features,stimuli_features,combined_features,context_cluster,response_cluster,stimuli_cluster,stimuli_triples,response_triples,context_triples
15,36,10,40,36,"Certain lights are optimized for reading near the couch, while the rest are dimmed or off.",I'm sitting on the couch reading a book.,Only the lights above the couch are on; the others are dimmed.,2016-08-10 00:34:09,1,36,4.5,2.5,3.5,"[-0.02396579  0.48762983 -0.35472625 ...  0.5790904  -0.81494075
 -0.35904565]","[-0.2777827   0.06272539 -0.62016946 ...  0.60468227 -1.0062406
 -0.3058829 ]","[ 0.20371765  0.16873418 -1.2175035  ... -0.13498811 -0.60686076
 -0.4770782 ]","[-0.09803085  0.7190894  -2.1923993  ...  1.0487845  -2.4280422
 -1.1420068 ]",6,12,8,[],[],[]
16,37,9,40,36,Set the smart house so that anything meeting a certain height requirement does not turn the automatic lights on.,Pets like dogs or cats have free reign outside and can set off the motion detector.,Lights should stay off if a dog or cat walks by.,2016-08-10 00:38:09,1,37,0.0,2.5,4.0,"[-0.4310269  -0.5996156  -0.6759396  ...  0.0790179  -0.18823642
 -0.19994721]","[-0.25317457 -0.4989107  -1.2301735  ...  0.06222637  0.36840746
  0.27356723]","[-0.30891433 -0.386911   -0.379628   ... -0.15470757  0.15401402
 -0.5860522 ]","[-0.9931158  -1.4854373  -2.285741   ... -0.0134633   0.33418506
 -0.5124322 ]",14,22,3,[],[],[]
17,41,7,51,38,"It is night time, thus energy savement mode is on and should work properly at night, although no movement likely to  occur there would still be noise from TV.",Falling asleep on the couch while watching TV,"Lights should not fade off, since there is continous sound coming from the TV.",2016-08-10 14:33:33,1,41,4.5,3.0,1.5,"[ 0.677239   -0.8526183  -0.90756446 ...  0.68683505 -0.1103445
 -0.70650643]","[ 1.1793237  -0.27067515 -0.2858036  ...  0.49479234 -0.56008613
 -0.51793426]","[ 0.5645791  -0.00561057 -0.73386294 ...  0.16490139  0.19256896
  0.41114366]","[ 2.4211419  -1.128904   -1.927231   ...  1.3465288  -0.47786167
 -0.81329703]",22,10,5,"[['couch', 'watching', 'TV']]",[],[]
18,42,10,53,39,TV is turned ON; it's night time; the person sits by the table.,The person is watching TV.,Lights should not be dimmed as the person is having dinner or working on their project.,2016-08-10 16:01:17,1,42,0.0,2.0,3.5,"[ 0.04823194  0.38547793 -0.7268123  ... -0.14592642 -1.4843743
 -1.3370523 ]","[ 0.47295934  0.6187358  -1.1514477  ...  0.6317426  -1.6703799
 -0.5504098 ]","[ 0.9869952   0.00849293 -0.26822507 ...  0.31823903 -0.908465
 -0.44196016]",[ 1.5081866  1.0127066 -2.146485  ...  0.8040552 -4.063219  -2.3294222],21,12,23,[],[],[]
19,46,8,53,39,A person is inside the room A; the person has a portable source of light with them (e.g. flashlight).,I'm going from the room B to room A.,The lights ALL around the home should be turned ON as the person with the flashlight could be possibly an intruder.,2016-08-10 16:30:38,1,46,0.0,3.5,3.0,"[-0.03696124 -0.755623   -0.46607053 ... -0.08077455 -0.7891091
 -0.6479732 ]","[ 0.6283341   0.4217564  -0.26493838 ...  0.00470065 -0.7891607
  0.2649251 ]","[-0.33281597  0.30959347  0.2083105  ... -0.54904693 -1.4317555
  0.3167433 ]","[ 0.2585569  -0.02427313 -0.5226984  ... -0.6251208  -3.0100255
 -0.06630477]",2,17,2,[],[],[]
20,47,9,53,39,Sensor detected a movement; the shape of that movement is big enough to be a human; it's night time.,There is a movement outside of the house.,Turn ON the light.,2016-08-10 16:36:53,1,47,4.0,3.0,3.0,"[ 0.3765241   0.08133741 -0.35213056 ...  0.63461834  0.4344444
  0.6282685 ]","[ 0.1784582  -0.32794264 -0.08738957 ... -0.02662156 -1.1760933
 -0.3955016 ]","[-0.00748881 -0.6774892   0.44164756 ...  0.5811618  -0.8726941
 -0.09829385]","[ 0.54749346 -0.92409444  0.00212742 ...  1.1891586  -1.614343
  0.13447303]",12,1,7,[],[],[]
21,48,9,53,39,"Sensor detected the movement; the shape of that movement is small (e.g cat, dog); it's night time.",There is a movement outside the home.,The light should be turned OFF as the shape is not big enough to be a potential danger.,2016-08-10 16:39:21,1,48,0.0,3.5,3.0,"[-0.20292294 -0.09007876 -1.0452728  ...  0.32349902  0.5159549
  0.55761844]","[ 0.45082328 -0.31138778  0.22032034 ... -0.27737403  0.11430601
  1.2896258 ]","[-0.00534298 -0.8545663   0.6716291  ...  0.43419862 -1.1608369
 -0.25991407]","[ 0.24255735 -1.2560328  -0.15332341 ...  0.4803236  -0.530576
  1.5873301 ]",12,18,7,[],[],[]
22,49,10,53,39,TV is turned ON; there was no voice command to turn the lights OFF; it's night time; the person is inside of their bed/lazy chair,The person is watching TV.,"Lights should be dimmed to the preconfigured %; the color of the light should be based on the program the person is watching (e.g. horror - red, news - blue, action - orange) [ability to customize color scheme should be included].",2016-08-10 16:48:51,1,49,5.0,4.0,5.0,"[ 0.5471396   0.04580348 -0.43782133 ...  0.7886125  -1.962778
 -1.5747951 ]","[-0.8907305   0.08635103  0.44296232 ...  0.5399253  -1.532859
 -0.2201267 ]","[ 0.9869952   0.00849293 -0.26822507 ...  0.31823903 -0.908465
 -0.44196016]","[ 0.64340436  0.14064744 -0.26308408 ...  1.6467769  -4.404102
 -2.236882  ]",6,5,23,[],[],[]
23,50,8,51,38,"It is night time, dark room and mother does not intend to disturb sleeping baby.",A mother walks in to her babies room to check him/her without awakening.,Lights should turn on for safety of incoming person to the room at the expense of incovenience.,2016-08-10 17:04:37,1,50,4.5,4.0,2.0,"[-0.21549475  0.26349297 -1.0963886  ... -0.16385128  1.2222546
  1.2504025 ]","[ 1.0907444   0.52488416  0.18508686 ...  0.7179711   0.0281902
 -0.12446769]","[ 0.48265445 -0.27791628 -1.0533444  ...  0.00510545  0.8307155
  1.8086584 ]","[ 1.3579041   0.51046085 -1.9646462  ...  0.55922526  2.0811603
  2.9345932 ]",4,9,4,[],[],[]
24,51,7,56,40,I walk out of the bathroom and have the timer set for 3 minutes to turn the lights off,I just finished using the bathroom,The lights shut off in the bathroom after 3 minutes,2016-08-10 17:42:22,1,51,0.0,2.5,3.0,"[-0.08869497 -0.576056    0.31248277 ...  1.5459609  -1.2754209
 -0.8882795 ]","[-0.28305984 -0.6644748   0.25933132 ...  1.2060229  -1.1278305
 -0.7945092 ]","[-0.58053124 -0.51538837 -0.20112112 ...  0.9509961   0.364748
  0.40182406]","[-0.95228606 -1.7559192   0.37069297 ...  3.70298    -2.0385034
 -1.2809646 ]",6,12,24,"[['I', 'using', 'bathroom']]","[['lights', 'shut', 'bathroom']]","[['I', 'turn', 'lights']]"
25,55,8,56,40,"It's late at night and I just came from a dark room, I don't want the lights to be too bright when I walk into the kitchen.",I'm waking up for a midnight snack and head to the kitchen,The lights should come on dimmed in the kitchen; comfortable enough to where it won't hurt my eyes but bright enough so I can see what I'm doing,2016-08-10 17:50:13,1,55,5.0,4.0,4.5,"[ 0.44719976  0.40753302 -0.40570956 ...  0.46484578 -0.42143294
  0.07636922]","[-0.40358716  0.62601876 -0.45163015 ...  0.29579487 -1.2035948
  0.921233  ]","[ 0.03543441 -0.28197172 -1.1266706  ...  0.5510648  -0.5578407
 -0.06227225]","[ 0.07904702  0.75158006 -1.9840102  ...  1.3117055  -2.1828685
  0.93533   ]",22,5,20,[],[],[]
26,56,9,56,40,The system should detect the size of what is moving around my house at night,A raccoon walks by my house late at night,The lights should not come on because it is just a raccoon and it would be unnecessary to turn on the lights,2016-08-10 17:51:44,1,56,5.0,2.0,3.5,"[ 0.41954225  0.5766211  -1.0808665  ...  0.4808836   0.2295275
  0.6193057 ]","[-0.3734208  -0.3387128  -0.04217554 ... -0.71684617  0.65244615
  0.07700518]","[ 0.39811578  0.38556576 -0.5481418  ... -0.6039834  -0.07236827
 -0.25768486]","[ 0.44423726  0.62347406 -1.6711838  ... -0.839946    0.80960536
  0.438626  ]",0,22,19,"[['raccoon', 'walks', 'night']]","[['lights', 'turn', 'lights']]","[['system', 'moving', 'night']]"
27,57,9,56,40,It's night time and people are coming in the backyard from the driveway,I am having friends over in the backyard for a bonfire,"Turn on only walkway lights so that my guests can see, but keep floodlights off as to not attract bugs",2016-08-10 17:53:21,1,57,0.0,4.5,4.5,"[ 0.9194727   0.07722691 -0.181949   ...  0.07940407 -1.0354892
 -0.00176089]","[-0.6491078  -0.45757362 -0.43484944 ...  0.09020875 -0.07257501
  0.66742796]","[-0.3824772   0.8817258  -0.1523628  ...  0.36629793 -2.628589
  0.3856874 ]","[-0.11211228  0.501379   -0.7691612  ...  0.5359108  -3.7366533
  1.0513544 ]",8,22,11,"[['I', 'having', 'friends']]",[],[]
28,59,10,56,40,It's starting to get dark outside and I'm having trouble reading ,I would like to read a book in the study,The system should turn the lights on to their full brightness so that I can see what I'm reading,2016-08-10 17:57:56,1,59,5.0,2.5,4.5,"[-0.09359105  1.3497295  -0.46775013 ...  0.8571937   0.27940446
  0.5301979 ]","[-0.21850894  0.6266336  -0.33615473 ...  0.43065625 -0.8819242
  0.04953796]","[ 1.2117047   0.8097852  -0.7765344  ... -0.09299407 -1.282102
  0.04561038]","[ 0.8996047   2.7861483  -1.5804392  ...  1.1948559  -1.8846216
  0.62534624]",13,13,8,"[['I', 'read', 'book']]",[],[]
29,60,7,58,40,Someone was previously in the room with the lights on but has since left and not reentered.,A room has been completely unoccupied for the preconfigured amount of time.,The lights should be turned off.,2016-08-10 19:24:52,1,60,4.5,1.0,4.5,"[ 0.86107993 -0.73165834 -0.1953126  ...  0.6514316  -0.17336057
  0.25739968]","[-0.26837933 -0.02043956  0.5834439  ...  0.95745784 -0.26794302
  0.1301474 ]","[-0.08017251 -1.5900661  -0.90674466 ...  0.6851227  -1.0989614
  0.03004767]","[ 0.51252806 -2.342164   -0.51861334 ...  2.294012   -1.540265
  0.41759473]",9,14,10,[],[],[]
30,61,8,58,40,There are no lights on in the room and the room is unoccupied prior to the person entering.,A person enters into a darkened room.,The lights should turn on.,2016-08-10 19:29:43,1,61,5.0,1.5,5.0,"[ 0.82847095 -0.56902945 -0.00903535 ...  1.5004073  -0.73419356
 -0.30449945]","[ 0.06370655 -0.25312006  0.13744487 ...  0.57544565 -1.0896968
 -0.36059436]","[ 0.46936098  0.03793605 -0.15384345 ...  0.12149929 -0.8344158
 -0.13317499]","[ 1.3615384  -0.7842135  -0.02543393 ...  2.1973524  -2.6583061
 -0.7982688 ]",9,20,17,[],[],[]
31,63,10,58,40,There are people seated either on furniture or on the floor in front of the TV.,A TV in the room is turned on.,The room lighting should be changed to the preconfigured setting for watching TV.,2016-08-10 19:40:58,1,63,0.0,2.5,3.5,"[ 0.37795684 -0.01861439  0.49932253 ...  0.6395243  -1.1200148
 -1.4375639 ]","[ 0.65386033  0.5273509  -0.12458865 ...  0.84307486 -1.5754427
 -0.2915173 ]","[ 1.1915119  -0.92427164 -0.13926126 ...  0.9543863  -1.6116879
 -1.557192  ]","[ 2.223329   -0.41553515  0.23547265 ...  2.4369855  -4.3071456
 -3.286273  ]",21,24,23,[],[],[]
32,65,8,58,40,"The family dog is making his nocturnal rounds, trotting in and out of various rooms in the house. There are no lights on in the room and the room is otherwise unoccupied.",A dog enters the room.,The lights should remain off.,2016-08-10 20:09:23,1,65,0.0,4.0,2.5,"[-0.32422516 -1.0251555  -0.74996084 ...  0.35084546  0.16906698
  0.41246313]","[-0.11582939 -0.7498335  -0.52742434 ...  0.03633184 -0.54549736
  0.34357136]","[ 0.7885997  -0.8065814  -0.39893216 ...  0.2046431  -0.5031824
  0.25830108]",[ 0.3485452 -2.5815704 -1.6763173 ...  0.5918204 -0.8796128  1.0143356],24,7,2,[],[],[]
33,66,8,58,40,The room is dark. There are children sleeping in their beds in this room. One of their parents has cracked open the door to check on them.,A person cracks open a door and peers into a dark room but does not cross the threshold.,The lights should remain off.,2016-08-10 20:12:47,1,66,5.0,5.0,5.0,"[ 0.51264673 -0.7063512  -1.1061431  ... -0.12393323 -0.3955204
  1.0844724 ]","[-0.11582939 -0.7498335  -0.52742434 ...  0.03633184 -0.54549736
  0.34357136]","[ 0.3645842  -0.6458388  -0.30418873 ... -0.65778494 -0.5830915
 -0.6598598 ]","[ 0.76140153 -2.1020236  -1.9377562  ... -0.7453863  -1.5241092
  0.768184  ]",24,7,17,[],[],[]
34,67,7,61,40,The smart home should detect no movement.,A person falls asleep in a room.,The lights should turn off.,2016-08-10 20:15:02,1,67,4.0,1.5,2.75,"[ 0.2848342  -1.6287701  -0.7417426  ...  0.31273937 -0.03853193
  1.1535058 ]","[-0.32491508 -0.15545338  0.469094   ...  1.1116544  -0.11709041
  0.15701526]","[-0.45750746 -0.13026395 -1.204802   ...  0.40828195  0.5261393
  0.36685097]","[-0.49758834 -1.9144874  -1.4774506  ...  1.8326757   0.370517
  1.677372  ]",0,14,0,[],[],[]
35,68,7,58,40,"The lights are on for reading. There is minimal movement, only the turning of pages, and very little sound other than the person breathing.",A person is seated in the room reading.,The lights should remain on.,2016-08-10 20:17:29,1,68,5.0,3.5,4.5,"[-0.41439664  0.12996247 -0.47731945 ...  0.47932327 -0.22478841
  0.04789722]","[ 0.92025423 -0.20861548 -0.6076742  ...  0.8323084  -0.86339116
 -0.5187779 ]","[ 0.03715921  0.1390036  -1.1606886  ...  0.00192035 -0.36959884
 -0.5422522 ]",[ 0.5430168  0.0603506 -2.2456822 ...  1.313552  -1.4577785 -1.0131328],18,10,8,[],[],[]
36,69,8,61,40,The smart home detects movement but no manual control of the lights.,A person has a book in one hand and a drink in the other. They are unable to reach the light switch.,The smart home turns the lights on after about 10 seconds.,2016-08-10 20:17:57,1,69,5.0,4.0,4.5,"[-0.12526627 -1.0876573  -0.60168445 ...  0.42833215  0.19653672
  0.31766948]","[ 0.1775545  -0.7759837  -0.36302057 ...  0.7573975  -1.039573
 -0.47162667]","[-0.17087743  0.45977837 -0.51174265 ...  0.53298175 -0.7268273
 -1.0142522 ]","[-0.11858921 -1.4038627  -1.4764477  ...  1.7187114  -1.5698636
 -1.1682093 ]",0,2,5,[],[],[]
37,72,7,58,40,"The lights are off because no one is using the room. It is a summer day, so the windows are open. A strong breeze is moving the drapes.","Window drapes are blowing in the wind, creating distinct movement in the room and casting changing shadows across the room.",The lights should remain off.,2016-08-10 20:24:59,1,72,5.0,5.0,5.0,"[-0.64418626  0.42948055 -0.5192221  ...  0.30426532 -1.1802421
 -0.13292351]","[-0.11582939 -0.7498335  -0.52742434 ...  0.03633184 -0.54549736
  0.34357136]","[-0.01563941  0.936326    0.3747539  ...  1.008186   -1.4917588
  0.4982991 ]","[-0.7756551   0.61597306 -0.6718925  ...  1.3487833  -3.2174983
  0.70894694]",22,7,15,[],[],[]
38,73,9,58,40,It is night and the lights are off.,"An animal [raccoon, skunk, possum, deer, domestic cat, domestic dog, wild turkey, etc.] approaches the home.",The lights should not turn on.,2016-08-10 20:33:24,1,73,4.5,3.0,4.0,"[-0.62114733  0.33842704 -0.11380675 ...  0.9569475  -0.4187374
 -0.18838835]","[-0.07349262 -0.24507192 -0.17431118 ... -0.31684664  0.38873142
 -0.23464772]","[ 0.3780309   0.1452687   0.0335548  ... -1.7357068  -0.82314223
  0.27832216]","[-0.31660905  0.23862383 -0.25456312 ... -1.095606   -0.8531483
 -0.14471391]",13,7,19,[],[],[]
39,74,7,58,40,"A person was in the room and the lights are on. Sounds are coming through an open window, but no one has been in the room for the preconfigured time.","The continuous sound of [rain, traffic, a leaf blower, a lawnmower, chirping birds, dogs barking, etc.] is audible through an open window.",The lights should be turned off.,2016-08-10 21:01:06,1,74,5.0,4.5,4.5,"[ 0.8866502  -0.9108693  -0.22116457 ... -0.09681532 -1.9061708
 -0.4488534 ]","[-0.26837933 -0.02043956  0.5834439  ...  0.95745784 -0.26794302
  0.1301474 ]","[-0.18835706  0.27863103 -0.3633581  ... -0.06243731 -0.16172372
 -1.4049902 ]","[ 4.2991382e-01 -6.5267783e-01 -1.0787845e-03 ...  7.9820520e-01
 -2.3358374e+00 -1.7236962e+00]",9,14,11,[],[],[]
40,75,7,58,40,"A person was in the room and the lights are on. No one has been in the room for the preconfigured time. Audible through an open window that, say, opens on to a patio or backyard are distinctly human sounds such as children playing or people in conversation.",Distinctly human sounds are audible in the room.,The lights should turn off.,2016-08-10 21:13:58,1,75,4.5,4.5,4.5,"[ 1.489974   -0.38147795  0.19275628 ... -0.4630125  -2.436881
 -0.24851772]","[-0.32491508 -0.15545338  0.469094   ...  1.1116544  -0.11709041
  0.15701526]","[-0.24165557 -0.34046414  0.09953059 ...  0.6847916  -1.4314115
 -0.8253814 ]","[ 0.9234034  -0.87739545  0.7613809  ...  1.3334335  -3.985383
 -0.9168839 ]",14,14,22,[],[],[]
41,76,10,58,40,There are people seated either on furniture or on the floor in front of the TV. There are also other people in a different area of the room engaged in activities other than watching the TV.,A TV in the room is turned on.,The overall room lighting should not be changed.,2016-08-10 21:25:39,1,76,4.0,4.0,2.5,"[ 0.58276916  0.0331015   0.25667864 ...  0.1752497  -0.6126114
 -0.5042465 ]","[ 0.33773592  0.13233465 -1.1179318  ...  0.38180256 -0.97066474
 -0.99302775]","[ 1.1915119  -0.92427164 -0.13926126 ...  0.9543863  -1.6116879
 -1.557192  ]",[ 2.112017  -0.7588355 -1.0005145 ...  1.5114386 -3.1949642 -3.0544662],21,12,23,[],[],[]
42,80,8,63,41,The lights are off in the evening.,A person walks into an empty room where the lights are off.,"The lights come on gradually, and stay dimmed to a preconfigured level to prevent blinding the person.  A noise stimulus increases light levels at preconfigured levels.",2016-08-10 23:16:25,1,80,-1.0,3.5,4.0,"[-0.46243185  0.5710622  -0.14902051 ...  1.2378752  -0.6065599
 -0.43636608]","[-0.2801416   0.56554544 -0.27703148 ... -0.00191417 -1.0453556
  0.09999243]","[-0.14875355 -0.9435094  -0.5585727  ...  0.54308355 -0.47546834
 -0.13256735]","[-0.891327    0.19309825 -0.9846247  ...  1.7790446  -2.1273837
 -0.468941  ]",13,12,17,[],[],[]
